"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:31 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2020 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Gender GPA Summary"
Course,"Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap"
"Basic Counseling Skills",PSY4170,319,103,3.49,3.45,0.04
"Leadership and Teams",PSY4490,34,14,3.87,3.29,0.59
"Political Violence",CRM3380,27,20,3.15,3.3,-0.15
"Sociology of The Family",SOC3321,72,27,3.26,3.22,0.04
"Qualitative Mthds In Psych Act",PSY4404A,112,31,3.6,3.38,0.22
"Quantitative Mthds Soclgy Lab",SOC4100L,89,39,3.58,3.48,0.1
"Psychology of Women",PSY3322,92,23,3.5,3.67,-0.16
"Immigration and Migration",SOC3350,164,74,3.92,3.91,0.01
"Family Violence",SW3322,155,44,3.56,3.52,0.04
"Child Psych,  Early Childhood",PSY3310,235,52,3.58,3.59,-0.01
"Quantitative Mthds Sociology",SOC4100,89,39,3.65,3.53,0.12
"Survey Research Act",PSY4444A,84,33,3.6,3.47,0.13
"Gender and Sexuality",SOC3328,275,81,3.67,3.48,0.19
"Community Psychology",PSY4250,37,11,3.03,2.9,0.13
"Theories of Counseling",PSY4121,39,N<10,3.18,N<10,N/A
"Experimental Psychology",PSY4433,288,97,3.2,3.13,0.07
"Probation and Parole",CRM3320,102,51,3.35,2.94,0.41
"Juvenile Delinquency",CRM3360,71,37,3.27,3.01,0.26
"Human Sexuality,  Relationship",PSY4455,503,194,3.38,3.4,-0.02
"Rsrch Methods In Criminology",CRM2205,19,23,3.04,2.82,0.22
"Qualitative Methods In Psych",PSY4404,112,31,3.38,3.15,0.23
"Human Rights",SW4440,60,22,3.1,3.3,-0.2
"Program Evaluation",PSY4430,133,49,3.68,3.59,0.09
"Contemp Treat of Law Violators",CRM3318,62,37,3.49,3.27,0.22
"Crime Analysis Activity",CRM3306A,32,16,3.47,3.42,0.05
Policing,CRM3319,91,46,3.22,3.15,0.08
"Crime Analysis",CRM3306,32,16,3.69,3.62,0.07
"Experimental Psychology Act",PSY4433A,288,97,3.2,3.13,0.07
"Black Sociology",SOC3314,71,31,3.21,3.25,-0.04
"Program Evaluation Lab",PSY4430A,133,49,3.67,3.59,0.09
"Adolescent Psychology",PSY3312,221,57,3.68,3.59,0.09
"Child Psychology For Educators",PSY2206,43,N<10,3.63,N<10,N/A
"Qualitative Methods For Soc",SOC4110,123,26,3.73,3.71,0.02
"Sociology of Education",SOC3360,35,13,3.31,3.47,-0.16
Internship,SW4411,92,13,3.94,4,-0.06
"Introduction To Sociology",SOC2201,334,155,3.57,3.4,0.16
"Senior Symposium",CRM4611,23,15,3.65,3.53,0.13
"Health Psychology",PSY3326,326,132,3.64,3.59,0.05
"Qual Mthds For Soclgy Lab",SOC4110L,123,26,3.74,3.79,-0.06
"Race and Ethnic Relations",SOC3320,211,64,3.18,3.12,0.06
"Media and Crime",CRM3390,137,96,3.34,3.24,0.1
"Technology and Society",SOC4440,79,30,3.81,3.71,0.1
"Social Psychology",PSY4401,175,54,3.69,3.59,0.1
"Spec Study For Ud Students",PSY4000,38,N<10,3.98,N<10,N/A
"Medical Social Work",SW3320,39,N<10,3.66,N<10,N/A

