"","Course","Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap","year"
"39","Qualitative Mthds In Psych Act","PSY4404A",53,90,3.6,3.53,-0.08,2020
"40","Quantitative Mthds Soclgy Lab","SOC4100L",51,77,3.5,3.59,0.09,2020
"41","Psychology of Women","PSY3322",45,70,3.48,3.57,0.09,2020
"42","Immigration and Migration","SOC3350",120,118,3.94,3.89,-0.04,2020
"43","Family Violence","SW3322",97,102,3.53,3.58,0.05,2020
"44","Child Psych,  Early Childhood","PSY3310",101,186,3.56,3.59,0.03,2020
"45","Quantitative Mthds Sociology","SOC4100",51,77,3.57,3.64,0.07,2020
"46","Survey Research Act","PSY4444A",46,71,3.52,3.6,0.07,2020
"47","Gender and Sexuality","SOC3328",164,192,3.62,3.64,0.02,2020
"48","Community Psychology","PSY4250",21,27,3.1,2.92,-0.17,2020
"49","Theories of Counseling","PSY4121",14,34,3.05,3.21,0.16,2020
"50","Experimental Psychology","PSY4433",132,253,3.2,3.18,-0.02,2020
"51","Probation and Parole","CRM3320",72,81,3.19,3.24,0.05,2020
"52","Juvenile Delinquency","CRM3360",51,57,3.22,3.15,-0.07,2020
"53","Human Sexuality,  Relationship","PSY4455",268,429,3.38,3.39,0.01,2020
"54","Rsrch Methods In Criminology","CRM2205",18,24,3.02,2.84,-0.18,2020
"55","Qualitative Methods In Psych","PSY4404",53,90,3.37,3.32,-0.05,2020
"56","Human Rights","SW4440",43,39,3.19,3.11,-0.09,2020
"57","Program Evaluation","PSY4430",58,124,3.68,3.64,-0.04,2020
"58","Contemp Treat of Law Violators","CRM3318",46,53,3.37,3.44,0.07,2020
"59","Crime Analysis Activity","CRM3306A",19,29,3.37,3.51,0.13,2020
"60","Policing","CRM3319",65,72,3.22,3.18,-0.05,2020
"61","Crime Analysis","CRM3306",19,29,3.75,3.62,-0.12,2020
"62","Experimental Psychology Act","PSY4433A",132,253,3.19,3.18,-0.02,2020
"63","Black Sociology","SOC3314",42,60,3.19,3.24,0.06,2020
"64","Program Evaluation Lab","PSY4430A",58,124,3.67,3.64,-0.03,2020
"65","Adolescent Psychology","PSY3312",98,180,3.67,3.66,-0.02,2020
"66","Child Psychology For Educators","PSY2206",18,30,3.65,3.55,-0.1,2020
"67","Qualitative Methods For Soc","SOC4110",67,82,3.71,3.74,0.03,2020
"68","Sociology of Education","SOC3360",18,30,3.41,3.32,-0.09,2020
"69","Internship","SW4411",59,46,3.93,3.97,0.04,2020
"70","Introduction To Sociology","SOC2201",149,340,3.51,3.52,0.01,2020
"71","Senior Symposium","CRM4611",16,22,3.56,3.64,0.08,2020
"72","Health Psychology","PSY3326",166,292,3.63,3.63,-0.01,2020
"73","Qual Mthds For Soclgy Lab","SOC4110L",67,82,3.74,3.75,0.02,2020
"74","Race and Ethnic Relations","SOC3320",123,152,3.17,3.16,-0.01,2020
"75","Media and Crime","CRM3390",108,125,3.3,3.29,-0.01,2020
"76","Technology and Society","SOC4440",47,62,3.79,3.78,-0.01,2020
"77","Social Psychology","PSY4401",86,143,3.66,3.67,0,2020
"78","Spec Study For Ud Students","PSY4000",10,35,4,3.98,-0.02,2020
"79","Medical Social Work","SW3320",22,26,3.57,3.57,0,2020
