"","Course","Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap","year"
"39","Research Methods In Psychology","PSY2204",65,106,2.95,3.01,0.07,2019
"40","Social Work Practice","SW3301",30,31,3.64,3.46,-0.19,2019
"41","Quantitative Mthds Sociology","SOC4100",42,32,3.63,3.48,-0.15,2019
"42","Health Psychology","PSY3326",113,199,3.14,3.18,0.03,2019
"43","Qualitative Mthds In Psych Act","PSY4404A",17,24,3.5,3.27,-0.23,2019
"44","Community and Urban Sociology","SOC3325",63,108,3.4,3.45,0.05,2019
"45","Survey Research Act","PSY4444A",39,57,3.54,3.62,0.08,2019
"46","Mind Brain Behvr Intgrtd View","PSY2210",73,145,2.95,2.99,0.04,2019
"47","Crime Analysis","CRM3306",18,27,3.13,3.28,0.15,2019
"48","Soc Welfare Policy Issues","SW3310",62,57,3.38,3.44,0.05,2019
"49","Contemp Treat of Law Violators","CRM3318",43,53,3.05,3.12,0.06,2019
"50","Impact Colonization On Hawaii","SOC4465",14,25,3.6,3.74,0.14,2019
"51","Sociology of Education Svc Lrn","SOC3360S",17,25,3.04,2.91,-0.13,2019
"52","Intro Soc Work and Soc Welfare","SW2201",162,150,3.24,3.22,-0.02,2019
"53","Policing","CRM3319",40,56,3.36,3.3,-0.06,2019
"54","Experimental Psychology","PSY4433",103,179,3.01,3.03,0.02,2019
"55","Experimental Psychology Act","PSY4433A",103,179,3.01,3.03,0.02,2019
"56","Organizational Psychology","PSY3332",80,158,3.38,3.36,-0.02,2019
"57","Child Psychology For Educators","PSY2206",22,24,2.71,2.6,-0.1,2019
"58","Internship","SW4411",61,66,3.99,3.96,-0.03,2019
"59","Psychology of Women","PSY3322",18,30,3.24,3.32,0.08,2019
"60","Industrial Psychology","PSY3333",28,61,2.19,2.23,0.04,2019
"61","Survey Research","PSY4444",39,57,3.64,3.68,0.04,2019
"62","Family Violence","SW3322",92,114,3.34,3.36,0.02,2019
"63","Spec Study For Ud Students","SOC4000",13,12,4,3.89,-0.11,2019
"64","Socialization,  Self and Socie","SOC4402",113,146,3.05,3.04,-0.01,2019
"65","Child Psych,  Early Childhood","PSY3310",65,125,3.62,3.6,-0.01,2019
"66","Social Work Pract Lab","SW3301L",30,31,3.7,3.67,-0.03,2019
"67","Memory and Amnesia","PSY3335",72,156,3.22,3.23,0.01,2019
"68","Community Psychology","PSY4250",16,32,2.87,2.9,0.04,2019
"69","Spec Study For Ud Students","PSY4000",11,44,4,3.97,-0.03,2019
"70","Child Psych,  Mid Childhood","PSY3311",21,27,3.6,3.63,0.02,2019
"71","Theories of Learning","PSY4402",30,51,3.16,3.17,0.01,2019
"72","Qual Mthds For Soclgy Lab","SOC4110L",46,59,3.76,3.76,0,2019
"73","Death and Dying","SW4470",28,31,3.57,3.56,0,2019
