"","Course","Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap","year"
"53","Policing","CRM3319",49,"47",3.59,"3.04","0.54",2019
"54","Experimental Psychology","PSY4433",214,"68",3.02,"3.04","-0.02",2019
"55","Experimental Psychology Act","PSY4433A",214,"68",3.02,"3.04","-0.02",2019
"56","Organizational Psychology","PSY3332",176,"62",3.39,"3.27","0.13",2019
"57","Child Psychology For Educators","PSY2206",43,"N<10",2.76,"N<10","N/A",2019
"58","Internship","SW4411",111,"16",3.98,"4","-0.02",2019
"59","Psychology of Women","PSY3322",37,"11",3.18,"3.67","-0.49",2019
"60","Industrial Psychology","PSY3333",60,"29",2.17,"2.32","-0.15",2019
"61","Survey Research","PSY4444",81,"15",3.67,"3.64","0.02",2019
"62","Family Violence","SW3322",149,"57",3.37,"3.32","0.05",2019
"63","Spec Study For Ud Students","SOC4000",21,"N<10",3.94,"N<10","N/A",2019
"64","Socialization,  Self and Socie","SOC4402",194,"65",3.07,"2.99","0.08",2019
"65","Child Psych,  Early Childhood","PSY3310",153,"37",3.62,"3.54","0.09",2019
"66","Social Work Pract Lab","SW3301L",53,"N<10",3.69,"N<10","N/A",2019
"67","Memory and Amnesia","PSY3335",157,"71",3.22,"3.25","-0.02",2019
"68","Community Psychology","PSY4250",30,"18",2.9,"2.87","0.03",2019
"69","Spec Study For Ud Students","PSY4000",36,"19",4,"3.93","0.07",2019
"70","Child Psych,  Mid Childhood","PSY3311",44,"N<10",3.71,"N<10","N/A",2019
"71","Theories of Learning","PSY4402",62,"19",3.21,"3.04","0.17",2019
"72","Qual Mthds For Soclgy Lab","SOC4110L",78,"27",3.78,"3.71","0.07",2019
"73","Death and Dying","SW4470",48,"11",3.56,"3.6","-0.04",2019
