"","Course","Course Code","White","African American","Latino/a","Asian","year"
"42","Immigration and Migration","SOC3350","3.92","3.85",3.91,"4",2020
"43","Family Violence","SW3322","3.74","N<10",3.56,"3.63",2020
"44","Child Psych,  Early Childhood","PSY3310","3.52","3.28",3.59,"3.58",2020
"45","Quantitative Mthds Sociology","SOC4100","3.64","N<10",3.61,"N<10",2020
"46","Survey Research Act","PSY4444A","3.85","N<10",3.52,"3.67",2020
"47","Gender and Sexuality","SOC3328","3.77","3.21",3.65,"3.54",2020
"48","Community Psychology","PSY4250","N<10","N<10",2.99,"N<10",2020
"49","Theories of Counseling","PSY4121","N<10","N<10",2.95,"N<10",2020
"50","Experimental Psychology","PSY4433","3.17","3",3.13,"3.35",2020
"51","Probation and Parole","CRM3320","3.49","N<10",3.19,"3.37",2020
"52","Juvenile Delinquency","CRM3360","N<10","N<10",3.18,"N<10",2020
"53","Human Sexuality,  Relationship","PSY4455","3.5","3.41",3.33,"3.62",2020
"54","Rsrch Methods In Criminology","CRM2205","N<10","N<10",2.94,"N<10",2020
"55","Qualitative Methods In Psych","PSY4404","3.71","N<10",3.16,"3.62",2020
"56","Human Rights","SW4440","N<10","N<10",3.2,"N<10",2020
"57","Program Evaluation","PSY4430","3.7","N<10",3.61,"3.77",2020
"58","Contemp Treat of Law Violators","CRM3318","N<10","N<10",3.39,"N<10",2020
"59","Crime Analysis Activity","CRM3306A","N<10","N<10",3.38,"N<10",2020
"60","Policing","CRM3319","N<10","N<10",3.13,"3.62",2020
"61","Crime Analysis","CRM3306","N<10","N<10",3.69,"N<10",2020
"62","Experimental Psychology Act","PSY4433A","3.17","2.97",3.13,"3.35",2020
"63","Black Sociology","SOC3314","3.18","N<10",3.27,"N<10",2020
"64","Program Evaluation Lab","PSY4430A","3.7","N<10",3.6,"3.77",2020
"65","Adolescent Psychology","PSY3312","3.75","N<10",3.67,"3.71",2020
"66","Child Psychology For Educators","PSY2206","N<10","N<10",3.55,"N<10",2020
"67","Qualitative Methods For Soc","SOC4110","3.91","N<10",3.73,"3.6",2020
"68","Sociology of Education","SOC3360","N<10","N<10",3.31,"N<10",2020
"69","Internship","SW4411","3.56","N<10",4,"N<10",2020
"70","Introduction To Sociology","SOC2201","3.65","3.35",3.48,"3.64",2020
"71","Senior Symposium","CRM4611","N<10","N<10",3.7,"N<10",2020
"72","Health Psychology","PSY3326","3.69","3.54",3.59,"3.65",2020
"73","Qual Mthds For Soclgy Lab","SOC4110L","3.91","N<10",3.76,"3.6",2020
"74","Race and Ethnic Relations","SOC3320","3.2","2.67",3.17,"3.19",2020
"75","Media and Crime","CRM3390","3.54","2.82",3.3,"3.6",2020
"76","Technology and Society","SOC4440","3.8","N<10",3.84,"3.67",2020
"77","Social Psychology","PSY4401","3.86","N<10",3.64,"3.67",2020
"78","Spec Study For Ud Students","PSY4000","N<10","N<10",4,"4",2020
"79","Medical Social Work","SW3320","N<10","N<10",3.61,"N<10",2020
